,0,1,2,3,4,5,6,7,8
0,263.8889,80.44444,71.22222,149.0,5.0,12.255555,0.0,0.0,0.0
1,263.95425,80.51758,71.30083,149.08244,5.0,12.342594,1.0,1.0,1.0
2,264.01947,80.59048,71.37913,149.16454,5.0,12.429231,1.0,1.0,1.0
3,264.08484,80.66363,71.45775,149.24701,5.0,12.516291,1.0,1.0,1.0
4,264.14645,80.73056,71.5285,149.32051,5.0,12.593161,1.0,1.0,1.0
5,264.20743,80.79659,71.5983,149.3931,5.0,12.669269,1.0,1.0,1.0
6,264.21274,80.77061,71.55165,149.33221,5.0,12.592211,1.0,1.0,1.0
7,264.36743,80.513306,71.09007,148.8623,5.0,12.384491,1.0,1.0,1.0
8,265.06284,79.94843,70.34937,148.52347,5.0,12.711131,1.0,2.0,2.0
9,265.78928,79.3608,69.60411,148.20366,5.0,13.061743,2.0,2.0,3.0
10,265.85425,79.433304,69.681915,148.28519,5.0,13.147753,2.0,2.0,3.0
11,265.8751,79.437225,69.676636,148.27422,5.0,13.131185,2.0,2.0,3.0
12,265.89874,79.44562,69.676956,148.26968,5.0,13.122159,2.0,2.0,3.0
13,266.18896,79.18094,69.150734,147.6016,5.0,12.535282,1.0,2.0,2.0
14,266.24564,79.23962,69.21112,147.66362,5.0,12.600124,1.0,2.0,2.0
15,266.308,79.30777,69.28336,147.73877,5.0,12.678764,2.0,2.0,2.0
16,266.44385,79.06281,68.84264,147.27882,4.0,12.451576,1.0,2.0,2.0
17,266.4437,79.00902,68.74886,147.15802,4.0,12.304015,1.0,2.0,2.0
18,266.76224,78.67967,68.16179,146.60704,4.0,12.113627,1.0,2.0,3.0
19,266.8213,78.7427,68.22806,146.67589,4.0,12.185996,1.0,2.0,3.0
20,266.88525,78.8136,68.303894,146.75525,4.0,12.269663,1.0,2.0,3.0
21,266.9469,78.880585,68.374725,146.82884,4.0,12.34665,2.0,2.0,3.0
22,267.0102,78.9503,68.449036,146.90643,4.0,12.428225,2.0,2.0,3.0
23,267.38202,78.61306,67.81381,146.16525,3.0,11.839798,1.0,2.0,2.0
24,267.44736,78.68615,67.892365,146.24763,4.0,11.926761,1.0,2.0,2.0
25,267.51273,78.75931,67.971,146.33012,4.0,12.013839,1.0,2.0,3.0
26,267.5781,78.83247,68.04964,146.41261,4.0,12.10092,1.0,2.0,3.0
27,267.64346,78.90564,68.12828,146.4951,4.0,12.188001,1.0,2.0,3.0
28,267.7085,78.97825,68.20621,146.57678,4.0,12.274158,2.0,2.0,3.0
29,267.77386,79.051414,68.28484,146.65927,4.0,12.361238,2.0,2.0,3.0
30,267.83923,79.12458,68.36349,146.74176,4.0,12.448322,2.0,3.0,3.0
31,267.9046,79.19773,68.44211,146.82423,4.0,12.53538,2.0,3.0,3.0
32,267.9699,79.270805,68.52063,146.90659,4.0,12.622308,2.0,3.0,3.0
